names,smiles
ZINC000011666008,O=C(NCCn1ncc2c(N3CCN(c4ccccc4)CC3)ncnc21)c1ccc2ccccc2c1
ZINC000013364927,Cc1cc(Nc2ccc(N3CCN(C(=O)C(C)C)CC3)c(Cl)c2)n2nc(-c3ccccc3)nc2n1
ZINC000009319979,O=C(Cn1c(=O)c(CNc2ccccc2)cc2cc3c(cc21)OCCO3)NCc1ccccc1Cl
ZINC000005434072,N#Cc1cccc(-c2ccnc(NC3COC4C(OC(=O)Nc5cccc6ccccc56)COC34)n2)c1
ZINC000013511509,Cc1ccc(C(=O)Nc2cc3c(=O)n(Cc4ccccc4)c(C)nc3cc2N2CCN(C)CC2)cc1
ZINC000011786610,Cc1ccccc1C(=O)NC(C)c1nnc2n1CCN(Cc1ccc(N(C)c3ccccc3)cc1)CC2
ZINC000002414577,CCOc1ccccc1C=c1sc(=C(C#N)C(=O)Nc2ccc(C)c(C)c2)n(-c2ccccc2)c1=O
ZINC000000624347,N#Cc1ccc(C(=O)Nc2ccc(N3CCN(C(=O)c4ccc(Cl)cc4)CC3)cc2)c(F)c1
ZINC000009074908,Cc1ccc(C)c(Nc2nc(N3CCN(c4cccc(Cl)c4)CC3)nc3nccnc23)c1
ZINC000009345432,CC(C)c1ccc(NC(=O)C(C#N)=c2sc(=CC=Cc3ccccc3)c(=O)n2-c2ccccc2)cc1
ZINC000009273048,Fc1ccc(Nc2nc(Nc3ccc(F)cc3)nc(N3CCN(c4ccccc4)CC3)n2)cc1
ZINC000008600006,Cc1ccc(C(=O)N2CCN(c3ccc(F)cc3)CC2)cc1NC(=O)c1nsc2ccccc12
ZINC000056965555,O=C(NCCn1ncc2c(N3CCN(Cc4ccccc4)CC3)ncnc21)c1c(F)cccc1Cl
ZINC000002393514,CCOc1ccc(C=c2sc(=C(C#N)C(=O)Nc3cccc(C)c3)n(-c3ccccc3C)c2=O)cc1
ZINC000013786103,CCCCNC(=O)C(C#N)c1nc2ccccc2nc1N1CCN(CC=Cc2ccccc2)CC1
ZINC000013610162,N#Cc1c(N2CCN(CC(=O)Nc3cccc(Cl)c3)CC2)nc(-c2ccccc2)c2c1CCC2
ZINC000012594063,CCN1CCN(c2ccc(NC(=O)c3cnn(-c4ccc(Cl)cc4)c3C)c(C)c2)CC1
ZINC000101126870,N=c1c(C(=O)NCc2ccc(F)cc2)cc2c(=O)n3ccccc3nc2n1Cc1ccccc1Cl
ZINC000009290706,N#CC(C(=O)Nc1ccc(Cl)cc1)=c1sc(=CC=Cc2ccccc2)c(=O)n1-c1ccccc1
ZINC000009428718,CCCCCCNC(=O)C(C#N)c1nc2ccccc2nc1N1CCN(c2ccccc2)CC1
ZINC000102960001,CCOc1ccc(N=c2scc(-c3ccc4c(c3)NC(=O)CO4)n2N=Cc2ccc(C#N)cc2)cc1
ZINC000009344918,CCOc1ccc(C=c2sc(=C(C#N)C(=O)Nc3cc(C)ccc3C)n(-c3ccccc3)c2=O)cc1
ZINC000011787604,Cc1cccc2c(NCc3ccccc3F)nc(CNC(=O)c3cccc(Cn4cccn4)c3)nc12
ZINC000225860392,O=C(NCCCNc1ccnc2cc(Cl)ccc12)c1cn2c3c(cccc3c1=O)CCC2
ZINC000022665658,CN(C)c1ccc(C(CNC(=O)c2c(F)cccc2Cl)N2CCN(c3ccc(F)cc3)CC2)cc1
ZINC000009282713,N#CC(C(=O)Nc1ccccc1Cl)=c1sc(=Cc2ccncc2)c(=O)n1-c1ccccc1
ZINC000585266530,Cc1ccccc1CCc1nc(N2CCCC2c2ccc(Cl)cc2)ncc1C(=O)N1CCNCC1
ZINC000012219277,O=C(Nc1ccc(N2CCC(NCc3cnn(-c4ccccc4)n3)CC2)cc1)c1ccccc1F
ZINC000067262295,Cc1ccc(-c2cc3c(=O)n(CCC(=O)N4CCN(c5ccc(Cl)cc5)CC4)ccn3n2)cc1C
ZINC000015780693,CN(C)c1ccc(C(CNC(=O)c2cc3ccccc3oc2=O)N2CCN(c3ccccc3)CC2)cc1
ZINC000030948399,O=C(Nc1ccc(N2CCN(C(=O)c3ccc(Cl)cc3)CC2)cc1)c1ccc2nsnc2c1
ZINC000101101729,N=c1c(C(=O)NCc2ccccc2Cl)cc2c(=O)n3ccccc3nc2n1Cc1ccc(F)cc1
ZINC000000828003,OC(CN1CCN(c2ccccn2)CC1)Cn1c2ccc(Cl)cc2c2cc(Cl)ccc21
ZINC000101219891,N=c1c(C(=O)NCCc2ccccc2)cc2c(=O)n3ccccc3nc2n1Cc1ccccc1Cl
ZINC000101147216,Cc1cccn2c(=O)c3cc(C(=O)NC(C)c4ccccc4)c(=N)n(Cc4ccccc4Cl)c3nc12
